sample,world,spkdep,spkadapt,onehot,xvector,pvector,speaker_name
ffr0011_stimulis_0004,95,0,60,60,70,70,ffr0011
ffr0009_stimulis_0001,90,45,55,0,0,0,ffr0009
mfr0002_stimulis_0001,84,16,16,5,3,9,mfr0002
mfr0014_stimulis_0003,86,30,30,30,30,30,mfr0014
ffr0012_stimulis_0002,85,25,25,25,25,25,ffr0012
mfr0008_stimulis_0003,83,25,25,25,25,25,mfr0008
ffr0011_stimulis_0003,87,25,25,25,25,25,ffr0011
ffr0001_stimulis_0003,96,40,40,40,40,40,ffr0001
mfr0008_stimulis_0002,96,39,39,39,39,39,mfr0008
ffr0011_stimulis_0002,92,31,31,31,31,31,ffr0011
ffr0011_stimulis_0001,100,56,55,52,47,53,ffr0011
ffr0001_stimulis_0002,100,78,73,56,59,72,ffr0001
mfr0008_stimulis_0001,100,86,86,87,86,87,mfr0008
mfr0008_stimulis_0005,100,53,55,54,53,54,mfr0008
mfr0014_stimulis_0004,100,26,26,27,27,27,mfr0014
ffr0001_stimulis_0004,100,75,63,77,75,64,ffr0001
mfr0008_stimulis_0004,0,84,86,82,81,86,mfr0008
ffr0012_stimulis_0004,96,43,42,38,34,35,ffr0012
ffr0012_stimulis_0001,100,70,69,79,70,70,ffr0012
mfr0015_stimulis_0004,80,35,60,60,50,60,mfr0015
mfr0015_stimulis_0001,90,0,60,0,60,60,mfr0015
mfr0013_stimulis_0002,95,0,40,30,30,30,mfr0013
mfr0015_stimulis_0003,95,40,75,40,42,55,mfr0015
mfr0014_stimulis_0001,95,30,30,40,30,40,mfr0014
mfr0008_stimulis_0004,95,0,80,0,40,0,mfr0008
ffr0011_stimulis_0001,90,0,40,40,0,20,ffr0011
ffr0011_stimulis_0004,95,40,50,40,0,30,ffr0011
mfr0002_stimulis_0001,90,50,40,30,40,30,mfr0002
ffr0009_stimulis_0002,100,0,0,0,0,0,ffr0009
ffr0012_stimulis_0003,100,0,0,0,0,23,ffr0012
mfr0014_stimulis_0004,100,0,0,0,0,0,mfr0014
mfr0013_stimulis_0004,100,0,0,0,0,0,mfr0013
mfr0014_stimulis_0001,100,30,26,28,28,32,mfr0014
ffr0001_stimulis_0003,100,0,0,0,0,0,ffr0001
ffr0009_stimulis_0001,100,0,0,0,0,0,ffr0009
mfr0013_stimulis_0003,90,20,12,0,12,12,mfr0013
mfr0002_stimulis_0002,100,29,26,28,30,30,mfr0002
ffr0012_stimulis_0001,95,55,45,53,51,47,ffr0012
mfr0014_stimulis_0002,79,13,14,28,28,28,mfr0014
mfr0013_stimulis_0002,76,27,17,11,20,10,mfr0013
mfr0015_stimulis_0001,100,45,45,59,42,42,mfr0015
mfr0002_stimulis_0003,100,22,15,20,17,15,mfr0002
mfr0008_stimulis_0002,100,25,30,25,25,25,mfr0008
